class_name	slot_name	is_combination
MimsSoil	elev	True
MimsWater	depth	True
MisagAgriculture	lib_screen	True
MisagAgriculture	nucl_acid_amp	True
MisagAgriculture	mid	True
MisagAgriculture	assembly_name	True
MisagAgriculture	temp	True
MisagAgriculture	nucl_acid_ext	True
MisagAgriculture	samp_size	True
MisagAgriculture	lib_reads_seqd	True
MisagAgriculture	samp_collect_device	True
MisagAgriculture	lib_vector	True
MisagAgriculture	adapters	True
MisagAgriculture	samp_mat_process	True
MisagAir	alt	True
MisagBuiltEnvironment	surf_material	True
MisagBuiltEnvironment	indoor_surf	True
MisagFoodFarmEnvironment	depth	True
MisagHydrocarbonResourcesCores	temp	True
MisagHydrocarbonResourcesFluidsSwabs	temp	True
MisagSediment	depth	True
MisagSoil	depth	True
MisagSoil	elev	True
MisagWater	depth	True
MiuvigAgriculture	lib_screen	True
MiuvigAgriculture	nucl_acid_amp	True
MiuvigAgriculture	mid	True
MiuvigAgriculture	assembly_name	True
MiuvigAgriculture	temp	True
MiuvigAgriculture	nucl_acid_ext	True
MiuvigAgriculture	samp_size	True
MiuvigAgriculture	lib_reads_seqd	True
MiuvigAgriculture	samp_collect_device	True
MiuvigAgriculture	lib_vector	True
MiuvigAgriculture	adapters	True
MiuvigAgriculture	samp_mat_process	True
MiuvigAir	alt	True
MiuvigBuiltEnvironment	surf_material	True
MiuvigBuiltEnvironment	indoor_surf	True
MiuvigFoodFarmEnvironment	depth	True
MiuvigHydrocarbonResourcesCores	temp	True
MiuvigHydrocarbonResourcesFluidsSwabs	temp	True
MiuvigSediment	depth	True
MiuvigSoil	depth	True
MiuvigSoil	elev	True
MiuvigWater	depth	True
