MiuvigFoodFarmEnvironment	MIXS:0010012_0016020	None with environmental package None	FoodFarmEnvironment	Miuvig
MigsBaFoodFoodProductionFacility	MIXS:0010003_0016021	None with environmental package None	FoodFoodProductionFacility	MigsBa
MigsEuFoodFoodProductionFacility	MIXS:0010002_0016021	None with environmental package None	FoodFoodProductionFacility	MigsEu
MigsOrgFoodFoodProductionFacility	MIXS:0010006_0016021	None with environmental package None	FoodFoodProductionFacility	MigsOrg
MigsPlFoodFoodProductionFacility	MIXS:0010004_0016021	None with environmental package None	FoodFoodProductionFacility	MigsPl
MigsViFoodFoodProductionFacility	MIXS:0010005_0016021	None with environmental package None	FoodFoodProductionFacility	MigsVi
MimagFoodFoodProductionFacility	MIXS:0010011_0016021	None with environmental package None	FoodFoodProductionFacility	Mimag
MimarksCFoodFoodProductionFacility	MIXS:0010009_0016021	None with environmental package None	FoodFoodProductionFacility	MimarksC
MimarksSFoodFoodProductionFacility	MIXS:0010008_0016021	None with environmental package None	FoodFoodProductionFacility	MimarksS
MimsFoodFoodProductionFacility	MIXS:0010007_0016021	None with environmental package None	FoodFoodProductionFacility	Mims
MisagFoodFoodProductionFacility	MIXS:0010010_0016021	None with environmental package None	FoodFoodProductionFacility	Misag
MiuvigFoodFoodProductionFacility	MIXS:0010012_0016021	None with environmental package None	FoodFoodProductionFacility	Miuvig
MigsBaFoodHumanFoods	MIXS:0010003_0016022	None with environmental package None	FoodHumanFoods	MigsBa
MigsEuFoodHumanFoods	MIXS:0010002_0016022	None with environmental package None	FoodHumanFoods	MigsEu
MigsOrgFoodHumanFoods	MIXS:0010006_0016022	None with environmental package None	FoodHumanFoods	MigsOrg
MigsPlFoodHumanFoods	MIXS:0010004_0016022	None with environmental package None	FoodHumanFoods	MigsPl
MigsViFoodHumanFoods	MIXS:0010005_0016022	None with environmental package None	FoodHumanFoods	MigsVi
MimagFoodHumanFoods	MIXS:0010011_0016022	None with environmental package None	FoodHumanFoods	Mimag
MimarksCFoodHumanFoods	MIXS:0010009_0016022	None with environmental package None	FoodHumanFoods	MimarksC
