trophic_level_enum	lithoautotroph	lithoautotroph	
trophic_level_enum	lithoheterotroph	lithoheterotroph	
trophic_level_enum	lithotroph	lithotroph	
trophic_level_enum	methanotroph	methanotroph	
trophic_level_enum	methylotroph	methylotroph	
trophic_level_enum	mixotroph	mixotroph	
trophic_level_enum	obligate	obligate	
trophic_level_enum	oligotroph	oligotroph	
trophic_level_enum	organoheterotroph	organoheterotroph	
trophic_level_enum	organotroph	organotroph	
trophic_level_enum	photoautotroph	photoautotroph	
trophic_level_enum	photoheterotroph	photoheterotroph	
trophic_level_enum	photolithoautotroph	photolithoautotroph	
trophic_level_enum	photolithotroph	photolithotroph	
trophic_level_enum	photosynthetic	photosynthetic	
trophic_level_enum	phototroph	phototroph	
trophic_level_enum			
virus_enrich_appr_enum	centrifugation	centrifugation	
virus_enrich_appr_enum	CsCl density gradient	cscl_density_gradient	
virus_enrich_appr_enum	DNAse	dnase	
virus_enrich_appr_enum	FeCl Precipitation	fecl_precipitation	
virus_enrich_appr_enum	filtration	filtration	
virus_enrich_appr_enum	none	none	
virus_enrich_appr_enum	other	other	
virus_enrich_appr_enum	PEG Precipitation	peg_precipitation	
virus_enrich_appr_enum	RNAse	rnase	
virus_enrich_appr_enum	targeted sequence capture	targeted_sequence_capture	
virus_enrich_appr_enum	ultracentrifugation	ultracentrifugation	
virus_enrich_appr_enum	ultrafiltration	ultrafiltration	
virus_enrich_appr_enum			
wga_amp_appr_enum	mda based	mda_based	
wga_amp_appr_enum	pcr based	pcr_based	
wga_amp_appr_enum			
