slot	title	is_a
> slot	title	is_a
environment	environment	mixs_term_section
investigation	investigation	mixs_term_section
nucleic_acid_sequence source	nucleic acid sequence source	mixs_term_section
sequencing	sequencing	mixs_term_section
mixs_term_section		
