slot_name	domain
migs_vi_water_data	MixsCompliantData
mimag_agriculture_data	MixsCompliantData
mimag_air_data	MixsCompliantData
mimag_built_environment_data	MixsCompliantData
mimag_data	MixsCompliantData
mimag_food_animal_and_animal_feed_data	MixsCompliantData
mimag_food_farm_environment_data	MixsCompliantData
mimag_food_food_production_facility_data	MixsCompliantData
mimag_food_human_foods_data	MixsCompliantData
mimag_host_associated_data	MixsCompliantData
mimag_human_associated_data	MixsCompliantData
mimag_human_gut_data	MixsCompliantData
mimag_human_oral_data	MixsCompliantData
mimag_human_skin_data	MixsCompliantData
mimag_human_vaginal_data	MixsCompliantData
mimag_hydrocarbon_resources_cores_data	MixsCompliantData
mimag_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
mimag_microbial_mat_biofilm_data	MixsCompliantData
mimag_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
mimag_plant_associated_data	MixsCompliantData
mimag_sediment_data	MixsCompliantData
mimag_soil_data	MixsCompliantData
mimag_symbiont_associated_data	MixsCompliantData
mimag_wastewater_sludge_data	MixsCompliantData
mimag_water_data	MixsCompliantData
mimarks_c_agriculture_data	MixsCompliantData
mimarks_c_air_data	MixsCompliantData
mimarks_c_built_environment_data	MixsCompliantData
mimarks_c_data	MixsCompliantData
mimarks_c_food_animal_and_animal_feed_data	MixsCompliantData
mimarks_c_food_farm_environment_data	MixsCompliantData
mimarks_c_food_food_production_facility_data	MixsCompliantData
mimarks_c_food_human_foods_data	MixsCompliantData
mimarks_c_host_associated_data	MixsCompliantData
mimarks_c_human_associated_data	MixsCompliantData
mimarks_c_human_gut_data	MixsCompliantData
mimarks_c_human_oral_data	MixsCompliantData
mimarks_c_human_skin_data	MixsCompliantData
mimarks_c_human_vaginal_data	MixsCompliantData
mimarks_c_hydrocarbon_resources_cores_data	MixsCompliantData
mimarks_c_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
mimarks_c_microbial_mat_biofilm_data	MixsCompliantData
mimarks_c_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
mimarks_c_plant_associated_data	MixsCompliantData
mimarks_c_sediment_data	MixsCompliantData
mimarks_c_soil_data	MixsCompliantData
mimarks_c_symbiont_associated_data	MixsCompliantData
mimarks_c_wastewater_sludge_data	MixsCompliantData
mimarks_c_water_data	MixsCompliantData
mimarks_s_agriculture_data	MixsCompliantData
mimarks_s_air_data	MixsCompliantData
mimarks_s_built_environment_data	MixsCompliantData
mimarks_s_data	MixsCompliantData
mimarks_s_food_animal_and_animal_feed_data	MixsCompliantData
mimarks_s_food_farm_environment_data	MixsCompliantData
mimarks_s_food_food_production_facility_data	MixsCompliantData
mimarks_s_food_human_foods_data	MixsCompliantData
mimarks_s_host_associated_data	MixsCompliantData
mimarks_s_human_associated_data	MixsCompliantData
mimarks_s_human_gut_data	MixsCompliantData
mimarks_s_human_oral_data	MixsCompliantData
mimarks_s_human_skin_data	MixsCompliantData
mimarks_s_human_vaginal_data	MixsCompliantData
mimarks_s_hydrocarbon_resources_cores_data	MixsCompliantData
mimarks_s_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
mimarks_s_microbial_mat_biofilm_data	MixsCompliantData
mimarks_s_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
mimarks_s_plant_associated_data	MixsCompliantData
mimarks_s_sediment_data	MixsCompliantData
mimarks_s_soil_data	MixsCompliantData
mimarks_s_symbiont_associated_data	MixsCompliantData
mimarks_s_wastewater_sludge_data	MixsCompliantData
mimarks_s_water_data	MixsCompliantData
mims_agriculture_data	MixsCompliantData
mims_air_data	MixsCompliantData
mims_built_environment_data	MixsCompliantData
mims_data	MixsCompliantData
mims_food_animal_and_animal_feed_data	MixsCompliantData
mims_food_farm_environment_data	MixsCompliantData
mims_food_food_production_facility_data	MixsCompliantData
mims_food_human_foods_data	MixsCompliantData
mims_host_associated_data	MixsCompliantData
mims_human_associated_data	MixsCompliantData
mims_human_gut_data	MixsCompliantData
mims_human_oral_data	MixsCompliantData
mims_human_skin_data	MixsCompliantData
mims_human_vaginal_data	MixsCompliantData
mims_hydrocarbon_resources_cores_data	MixsCompliantData
mims_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
mims_microbial_mat_biofilm_data	MixsCompliantData
mims_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
mims_plant_associated_data	MixsCompliantData
mims_sediment_data	MixsCompliantData
mims_soil_data	MixsCompliantData
mims_symbiont_associated_data	MixsCompliantData
mims_wastewater_sludge_data	MixsCompliantData
mims_water_data	MixsCompliantData
misag_agriculture_data	MixsCompliantData
misag_air_data	MixsCompliantData
misag_built_environment_data	MixsCompliantData
misag_data	MixsCompliantData
misag_food_animal_and_animal_feed_data	MixsCompliantData
misag_food_farm_environment_data	MixsCompliantData
misag_food_food_production_facility_data	MixsCompliantData
misag_food_human_foods_data	MixsCompliantData
misag_host_associated_data	MixsCompliantData
misag_human_associated_data	MixsCompliantData
misag_human_gut_data	MixsCompliantData
misag_human_oral_data	MixsCompliantData
misag_human_skin_data	MixsCompliantData
misag_human_vaginal_data	MixsCompliantData
misag_hydrocarbon_resources_cores_data	MixsCompliantData
misag_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
misag_microbial_mat_biofilm_data	MixsCompliantData
misag_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
misag_plant_associated_data	MixsCompliantData
misag_sediment_data	MixsCompliantData
misag_soil_data	MixsCompliantData
misag_symbiont_associated_data	MixsCompliantData
misag_wastewater_sludge_data	MixsCompliantData
misag_water_data	MixsCompliantData
miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
miuvig_agriculture_data	MixsCompliantData
miuvig_air_data	MixsCompliantData
miuvig_built_environment_data	MixsCompliantData
miuvig_data	MixsCompliantData
miuvig_food_animal_and_animal_feed_data	MixsCompliantData
miuvig_food_farm_environment_data	MixsCompliantData
miuvig_food_food_production_facility_data	MixsCompliantData
miuvig_food_human_foods_data	MixsCompliantData
miuvig_host_associated_data	MixsCompliantData
miuvig_human_associated_data	MixsCompliantData
miuvig_human_gut_data	MixsCompliantData
miuvig_human_oral_data	MixsCompliantData
miuvig_human_skin_data	MixsCompliantData
miuvig_human_vaginal_data	MixsCompliantData
miuvig_hydrocarbon_resources_cores_data	MixsCompliantData
miuvig_hydrocarbon_resources_fluids_swabs_data	MixsCompliantData
miuvig_microbial_mat_biofilm_data	MixsCompliantData
miuvig_miscellaneous_natural_or_artificial_environment_data	MixsCompliantData
miuvig_plant_associated_data	MixsCompliantData
miuvig_sediment_data	MixsCompliantData
miuvig_soil_data	MixsCompliantData
miuvig_symbiont_associated_data	MixsCompliantData
miuvig_wastewater_sludge_data	MixsCompliantData
miuvig_water_data	MixsCompliantData
plant_associated_data	MixsCompliantData
sediment_data	MixsCompliantData
soil_data	MixsCompliantData
symbiont_associated_data	MixsCompliantData
wastewater_sludge_data	MixsCompliantData
water_data	MixsCompliantData
