Value syntax	term count
[mold odor|wet floor|water stains|wall discoloration|floor discoloration|ceiling discoloration|peeling paint or wallpaper|bulging walls|condensation]	1
[horizontal:castrator|horizontal:directly transmitted|horizontal:micropredator|horizontal:parasitoid|horizontal:trophically transmitted|horizontal:vector transmitted|vertical]	1
[low tide|ebb tide|flood tide|high tide]	1
[active surveillance in response to an outbreak|active surveillance not initiated by an outbreak|farm sample|market sample|other]	1
[DNA|dsDNA|ssDNA|RNA|dsRNA|ssRNA|ssRNA (+)|ssRNA (-)|mixed|uncharacterized]	1
[segmented|non-segmented|undetermined]	1
[independent sequence (UViG)|provirus (UpViG)]	1
{ANI cutoff};{AF cutoff};{clustering method}	1
{database};{version}	1
[provirus|host sequence similarity|CRISPR spacer match|kmer similarity|co-occurrence|combination|other]	1
{PMID} | {DOI} | {URL}	1
[ Daily| Weekly| Monthly| Quarterly | Annually| other]	1
[1st floor|2nd floor|{integer} floor|basement|lobby]	1
[absent|active|inactive|negative|no|present|positive|yes]	1
[accidental|dead-end|definitive|intermediate|paratenic|reservoir|single host]	1
[Acrisols|Andosols|Arenosols|Cambisols|Chernozems|Ferralsols|Fluvisols|Gleysols|Greyzems|Gypsisols|Histosols|Kastanozems|Lithosols|Luvisols|Nitosols|Phaeozems|Planosols|Podzols|Podzoluvisols|Rankers|Regosols|Rendzinas|Solonchaks|Solonetz|Vertisols|Yermosols]	1
[active surveillance in response to an outbreak|active surveillance not initiated by an outbreak|clinical trial|cluster investigation|environmental assessment|farm sample|field trial|for cause|industry internal investigation|market sample|passive surveillance|population based studies|research|research and development] or {text}	1
[adobe|carpet|cinder blocks|concrete|hay bales|glass|metal|paint|plastic|stainless steel|stone|stucco|tile|vinyl|wood]	1
[low carb|reduced calorie|vegetarian|other(to be specified)]	1
[aerobic|anaerobic]	1
[aerobic|anaerobic|other]	1
[all gender|female|gender neurtral|male|male and female|unisex]	1
[aluminum|cellular PVC|engineered plastic|fiberboard|fiberglass|metal|thermoplastic alloy|vinyl|wood|wood/plastic composite]	1
[ambidexterity|left handedness|mixed-handedness|right handedness]	1
[ambient storage|caterer-catering point|distribution|frozen storage|importer-broker|interstate conveyance|labeler-relabeler|manufacturing-processing|packaging|refrigerated storage|storage]	1
[Androdioecious|Androecious|Androgynous|Androgynomonoecious|Andromonoecious|Bisexual|Dichogamous|Diclinous|Dioecious|Gynodioecious|Gynoecious|Gynomonoecious|Hermaphroditic|Imperfect|Monoclinous|Monoecious|Perfect|Polygamodioecious|Polygamomonoecious|Polygamous|Protandrous|Protogynous|Subandroecious|Subdioecious|Subgynoecious|Synoecious|Trimonoecious|Trioecious|Unisexual]	1
[attic|bathroom|closet|conference room|elevator|examining room|hallway|kitchen|mail room|office|stairwell]	1
