class	Structured comment name	Preferred unit	Frequency
hydrocarbon resources-fluids/swabs	nitrate	micromole per liter, milligram per liter, parts per million	0.8571428571428571
microbial mat/biofilm	nitrate	micromole per liter, milligram per liter, parts per million	0.8571428571428571
miscellaneous natural or artificial environment	nitrate	micromole per liter, milligram per liter, parts per million	0.8571428571428571
sediment	nitrate	micromole per liter, milligram per liter, parts per million	0.8571428571428571
wastewater/sludge	nitrate	micromole per liter, milligram per liter, parts per million	0.8571428571428571
water	nitrate	micromole per liter, milligram per liter, parts per million, micromole per kilogram	0.14285714285714285
hydrocarbon resources-cores	nitrite	micromole per liter, milligram per liter, parts per million	0.8333333333333334
hydrocarbon resources-fluids/swabs	nitrite	micromole per liter, milligram per liter, parts per million	0.8333333333333334
microbial mat/biofilm	nitrite	micromole per liter, milligram per liter, parts per million	0.8333333333333334
miscellaneous natural or artificial environment	nitrite	micromole per liter, milligram per liter, parts per million	0.8333333333333334
sediment	nitrite	micromole per liter, milligram per liter, parts per million	0.8333333333333334
water	nitrite	micromole per liter, milligram per liter, parts per million, micromole per kilogram	0.16666666666666666
microbial mat/biofilm	org_carb	micromole per liter	0.75
miscellaneous natural or artificial environment	org_carb	micromole per liter	0.75
sediment	org_carb	micromole per liter	0.75
water	org_carb	micromole per liter, microgram per liter	0.25
microbial mat/biofilm	org_matter	microgram per liter	0.8
miscellaneous natural or artificial environment	org_matter	microgram per liter	0.8
sediment	org_matter	microgram per liter	0.8
soil	org_matter	microgram per liter	0.8
water	org_matter	microgram per liter, milligram per cubic meter	0.2
microbial mat/biofilm	org_nitro	microgram per liter	0.8
miscellaneous natural or artificial environment	org_nitro	microgram per liter	0.8
sediment	org_nitro	microgram per liter	0.8
soil	org_nitro	microgram per liter	0.8
water	org_nitro	microgram per liter, micromole per liter	0.2
food-animal and animal feed	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-farm environment	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-food production facility	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-human foods	organism_count	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
agriculture	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
air	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
built environment	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
host-associated	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-associated	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-gut	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-oral	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-skin	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-vaginal	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
hydrocarbon resources-cores	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
hydrocarbon resources-fluids/swabs	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
microbial mat/biofilm	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
miscellaneous natural or artificial environment	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
plant-associated	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
sediment	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
wastewater/sludge	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
water	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
symbiont-associated	organism_count	number of organism per cubic meter	0.045454545454545456
microbial mat/biofilm	part_org_carb	microgram per liter	0.6666666666666666
sediment	part_org_carb	microgram per liter	0.6666666666666666
water	part_org_carb	microgram per liter, micromole per liter	0.3333333333333333
microbial mat/biofilm	phosplipid_fatt_acid	mole per gram, mole per liter	0.75
miscellaneous natural or artificial environment	phosplipid_fatt_acid	mole per gram, mole per liter	0.75
sediment	phosplipid_fatt_acid	mole per gram, mole per liter	0.75
water	phosplipid_fatt_acid	mole per gram, mole per liter, milligram per liter	0.25
agriculture	pool_dna_extracts	gram, milliliter, microliter	0.2
food-animal and animal feed	pool_dna_extracts		0.8
food-food production facility	pool_dna_extracts		0.8
food-human foods	pool_dna_extracts		0.8
soil	pool_dna_extracts		0.8
food-animal and animal feed	samp_name	 	0.125
food-farm environment	samp_name	 	0.125
food-food production facility	samp_name	 	0.125
food-human foods	samp_name	 	0.125
air	samp_name		0.875
built environment	samp_name		0.875
host-associated	samp_name		0.875
human-associated	samp_name		0.875
human-gut	samp_name		0.875
human-oral	samp_name		0.875
human-skin	samp_name		0.875
human-vaginal	samp_name		0.875
hydrocarbon resources-cores	samp_name		0.875
hydrocarbon resources-fluids/swabs	samp_name		0.875
microbial mat/biofilm	samp_name		0.875
migs_ba	samp_name		0.875
migs_eu	samp_name		0.875
migs_org	samp_name		0.875
migs_pl	samp_name		0.875
migs_vi	samp_name		0.875
mimag	samp_name		0.875
mimarks_c	samp_name		0.875
mimarks_s	samp_name		0.875
mims	samp_name		0.875
misag	samp_name		0.875
miscellaneous natural or artificial environment	samp_name		0.875
miuvig	samp_name		0.875
plant-associated	samp_name		0.875
sediment	samp_name		0.875
soil	samp_name		0.875
wastewater/sludge	samp_name		0.875
water	samp_name		0.875
food-animal and animal feed	samp_size	liter, gram, cm^2	0.25
food-farm environment	samp_size	liter, gram, cm^2	0.25
food-food production facility	samp_size	liter, gram, cm^2	0.25
food-human foods	samp_size	liter, gram, cm^2	0.25
agriculture	samp_size	millliter, gram, milligram	0.0625
migs_ba	samp_size	millliter, gram, milligram, liter	0.6875
migs_eu	samp_size	millliter, gram, milligram, liter	0.6875
migs_org	samp_size	millliter, gram, milligram, liter	0.6875
migs_pl	samp_size	millliter, gram, milligram, liter	0.6875
migs_vi	samp_size	millliter, gram, milligram, liter	0.6875
mimag	samp_size	millliter, gram, milligram, liter	0.6875
mimarks_c	samp_size	millliter, gram, milligram, liter	0.6875
mimarks_s	samp_size	millliter, gram, milligram, liter	0.6875
mims	samp_size	millliter, gram, milligram, liter	0.6875
misag	samp_size	millliter, gram, milligram, liter	0.6875
miuvig	samp_size	millliter, gram, milligram, liter	0.6875
food-animal and animal feed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	0.12121212121212122
food-farm environment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	0.12121212121212122
food-food production facility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	0.12121212121212122
food-human foods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	0.12121212121212122
agriculture	samp_vol_we_dna_ext	millliter, gram, milligram	0.06060606060606061
symbiont-associated	samp_vol_we_dna_ext	millliter, gram, milligram	0.06060606060606061
air	samp_vol_we_dna_ext	millliter, gram, milligram, square centimeter	0.8181818181818182
