class	Structured comment name	Preferred unit	Frequency
human-skin	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
human-vaginal	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
hydrocarbon resources-cores	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
hydrocarbon resources-fluids/swabs	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
microbial mat/biofilm	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
miscellaneous natural or artificial environment	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
plant-associated	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
sediment	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
wastewater/sludge	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
water	organism_count	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
symbiont-associated	organism_count	number of organism per cubic meter	0.045454545454545456
microbial mat/biofilm	part_org_carb	microgram per liter	0.6666666666666666
sediment	part_org_carb	microgram per liter	0.6666666666666666
water	part_org_carb	microgram per liter, micromole per liter	0.3333333333333333
microbial mat/biofilm	phosplipid_fatt_acid	mole per gram, mole per liter	0.75
miscellaneous natural or artificial environment	phosplipid_fatt_acid	mole per gram, mole per liter	0.75
sediment	phosplipid_fatt_acid	mole per gram, mole per liter	0.75
water	phosplipid_fatt_acid	mole per gram, mole per liter, milligram per liter	0.25
food-animal and animal feed	samp_name	 	0.12121212121212122
food-farm environment	samp_name	 	0.12121212121212122
food-food production facility	samp_name	 	0.12121212121212122
food-human foods	samp_name	 	0.12121212121212122
air	samp_name		0.8787878787878788
built environment	samp_name		0.8787878787878788
host-associated	samp_name		0.8787878787878788
human-associated	samp_name		0.8787878787878788
human-gut	samp_name		0.8787878787878788
human-oral	samp_name		0.8787878787878788
human-skin	samp_name		0.8787878787878788
human-vaginal	samp_name		0.8787878787878788
hydrocarbon resources-cores	samp_name		0.8787878787878788
hydrocarbon resources-fluids/swabs	samp_name		0.8787878787878788
microbial mat/biofilm	samp_name		0.8787878787878788
migs_ba	samp_name		0.8787878787878788
migs_eu	samp_name		0.8787878787878788
migs_org	samp_name		0.8787878787878788
migs_pl	samp_name		0.8787878787878788
migs_vi	samp_name		0.8787878787878788
mimag	samp_name		0.8787878787878788
mimarks_c	samp_name		0.8787878787878788
mimarks_s	samp_name		0.8787878787878788
mims	samp_name		0.8787878787878788
misag	samp_name		0.8787878787878788
miscellaneous natural or artificial environment	samp_name		0.8787878787878788
miuvig	samp_name		0.8787878787878788
plant-associated	samp_name		0.8787878787878788
sediment	samp_name		0.8787878787878788
soil	samp_name		0.8787878787878788
symbiont-associated	samp_name		0.8787878787878788
wastewater/sludge	samp_name		0.8787878787878788
water	samp_name		0.8787878787878788
food-animal and animal feed	samp_size	liter, gram, cm^2	0.25
food-farm environment	samp_size	liter, gram, cm^2	0.25
