class	Structured comment name	Definition	Frequency
food-farm environment	soil_conductivity	Conductivity of soil at time of sampling.	0.5
agriculture	soil_conductivity	Conductivity of some soil.	0.5
food-farm environment	soil_pH	The pH of soil at time of sampling.	0.5
agriculture	soil_pH	pH of some soil.	0.5
agriculture	water_pH	The pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.	0.5
food-farm environment	water_pH	pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.	0.5
