samp_name	samp_taxon_id	geo_loc_name	tissue_type	host_life_stage	host_age	host_sex	env_broad_scale	env_local_scale	lat_lon	isol_growth_condt	collection_date	env_medium	seq_meth	assembly_qual	assembly_software	number_contig	project_name
SAMN29981091_4	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_5	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_6	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_7	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_8	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_9	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_10	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_11	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_12	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_13	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_14	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_15	113540	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
