samp_name	samp_taxon_id	Species Name	Description	alt_acc_SRA_exp	alt_acc_BioSample	alt_acc_BioProject	analyte_type	geo_loc_name	tissue_type	host_life_stage	host_age	host_sex	isolate	env_broad_scale	env_local_scale	lat_lon	isol_growth_condt	collection_date	env_medium	seq_meth	assembly_qual	assembly_software	number_contig	project_name
SAMN29981072_7	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_8	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_9	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_10	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_11	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_12	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_13	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_14	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981072_15	113540	Scleropages formosus	Genomic DNA extracted from muscle of female Scleropages formosus	SRS14329865	SAMN29981072	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	female	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_1	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_2	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_3	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_4	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_5	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_6	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_7	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_8	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_9	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_10	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_11	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_12	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_13	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_14	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
SAMN29981091_15	113540	Scleropages formosus	Genomic DNA extracted from muscle of male Scleropages formosus	SRS14329868	SAMN29981091	PRJNA860528	DNA	China: Guangdong province, China	muscle [UBERON:0005090]	adult	1 year	male	not provided	freshwater biome [ENVO:00000873]	freshwater environment [ENVO:01000306]	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided	not provided
