name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
door_move	door movement	MIXS:0000792		The type of movement of the door	{'value': 'swinging'}		door			DoorMoveEnum						
door_size	door area or size	MIXS:0000158		The size of the door	{'value': '2.5 square meter'}		area|door|size			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		square meter
door_type	door type	MIXS:0000794		The type of door material	{'value': 'wooden'}		door|type			DoorTypeEnum						
door_type_metal	door type, metal	MIXS:0000796		The type of metal door	{'value': 'hollow'}		door|type			DoorTypeMetalEnum						
door_type_wood	door type, wood	MIXS:0000797		The type of wood door	{'value': 'battened'}		door|type			string			[bettened and ledged|battened|ledged and braced|battened|ledged and framed|battened|ledged, braced and frame|framed and paneled|glashed or sash|flush|louvered|wire gauged]		enumeration	
door_water_mold	door signs of water/mold	MIXS:0000793		Signs of the presence of mold or mildew on a door	{'value': 'presence of mold visible'}		door			MoldVisibilityEnum						
drawings	drawings	MIXS:0000798		The buildings architectural drawings; if design is chosen, indicate phase-conceptual, schematic, design development, and construction documents	{'value': 'sketch'}		drawings			DrawingsEnum						
elevator	elevator count	MIXS:0000799		The number of elevators within the built structure	{'value': '2'}		count			integer						
escalator	escalator count	MIXS:0000800		The number of escalators within the built structure	{'value': '4'}		count			integer						
exp_duct	exposed ductwork	MIXS:0000144		The amount of exposed ductwork in the room						string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		square meter
exp_pipe	exposed pipes	MIXS:0000220		The number of exposed pipes in the room			pipes			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
ext_door	exterior door count	MIXS:0000170		The number of exterior doors in the built structure			count|door|exterior			integer						
ext_wall_orient	orientations of exterior wall	MIXS:0000817		The orientation of the exterior wall	{'value': 'northwest'}		exterior|wall			CompassDirections8Enum						
ext_window_orient	orientations of exterior window	MIXS:0000818		The compass direction the exterior window of the room is facing	{'value': 'southwest'}		exterior|window			CompassDirections8Enum						
filter_type	filter type	MIXS:0000765		A device which removes solid particulates or airborne molecular contaminants	{'value': 'HEPA'}		filter|type	True		FilterTypeEnum		True				
fireplace_type	fireplace type	MIXS:0000802		A firebox with chimney	{'value': 'wood burning'}		type			FireplaceTypeEnum						
floor_age	floor age	MIXS:0000164		The time period since installment of the carpet or flooring			age|floor			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		years, weeks, days
floor_area	floor area	MIXS:0000165		The area of the floor space within the room			area|floor			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		square meter
floor_cond	floor condition	MIXS:0000803		The physical condition of the floor at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas	{'value': 'new'}		condition|floor			DamagedEnum						
floor_count	floor count	MIXS:0000225		The number of floors in the building, including basements and mechanical penthouse			count|floor			integer						
floor_finish_mat	floor finish material	MIXS:0000804		The floor covering type; the finished surface that is walked on	{'value': 'carpet'}		floor|material			string			[tile|wood strip or parquet|carpet|rug|laminate wood|lineoleum|vinyl composition tile|sheet vinyl|stone|bamboo|cork|terrazo|concrete|none;specify unfinished|sealed|clear finish|paint]		enumeration	
floor_struc	floor structure	MIXS:0000806		Refers to the structural elements and subfloor upon which the finish flooring is installed	{'value': 'concrete'}		floor			FloorStrucEnum						
floor_thermal_mass	floor thermal mass	MIXS:0000166		The ability of the floor to provide inertia against temperature fluctuations			floor|mass			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		joule per degree Celsius
floor_water_mold	floor signs of water/mold	MIXS:0000805		Signs of the presence of mold or mildew in a room	{'value': 'ceiling discoloration'}		floor			FloorWaterMoldEnum						
freq_clean	frequency of cleaning	MIXS:0000226		The number of times the sample location is cleaned. Frequency of cleaning might be on a Daily basis, Weekly, Monthly, Quarterly or Annually	{'value': 'Daily'}		frequency			FreqCleanEnum			[ Daily| Weekly| Monthly| Quarterly | Annually| other]			
freq_cook	frequency of cooking	MIXS:0000227		The number of times a meal is cooked per week			frequency			string				{'syntax': '^{integer} {text}$', 'interpolated': True, 'partial_match': True}		
furniture	furniture	MIXS:0000807		The types of furniture present in the sampled room	{'value': 'chair'}					FurnitureEnum						
gender_restroom	gender of restroom	MIXS:0000808		The gender type of the restroom	{'value': 'male'}					GenderRestroomEnum						
