old_name	new_name
health_disease_stat	host_disease_stat
16s_recover	x_16s_recover
16s_recover_software	x_16s_recover_software
votu_class_appr	otu_class_appr
votu_db	otu_db
votu_seq_comp_appr	otu_seq_comp_appr
