contam_screen_param_enum	ref db	ref_db	
contam_screen_param_enum			
cult_result_enum	absent	absent	
cult_result_enum	active	active	
cult_result_enum	inactive	inactive	
cult_result_enum	negative	negative	
cult_result_enum	no	no	
cult_result_enum	positive	positive	
cult_result_enum	present	present	
cult_result_enum	yes	yes	
cult_result_enum			
cur_land_use_enum	badlands	badlands	
cur_land_use_enum	cities	cities	
cur_land_use_enum	"conifers (e.g. pine,spruce,fir,cypress)"	conifers_e_g_pine_spruce_fir_cypress	
cur_land_use_enum	"crop trees (nuts,fruit,christmas trees,nursery trees)"	crop_trees_nuts_fruit_christmas_trees_nursery_trees	
cur_land_use_enum	farmstead	farmstead	
cur_land_use_enum	gravel	gravel	
cur_land_use_enum	"hardwoods (e.g. oak,hickory,elm,aspen)"	hardwoods_e_g_oak_hickory_elm_aspen	
cur_land_use_enum	hayland	hayland	
cur_land_use_enum	horticultural plants (e.g. tulips)	horticultural_plants_e_g_tulips	
cur_land_use_enum	industrial areas	industrial_areas	
cur_land_use_enum	intermixed hardwood and conifers	intermixed_hardwood_and_conifers	
cur_land_use_enum	"marshlands (grass,sedges,rushes)"	marshlands_grass_sedges_rushes	
cur_land_use_enum	"meadows (grasses,alfalfa,fescue,bromegrass,timothy)"	meadows_grasses_alfalfa_fescue_bromegrass_timothy	
cur_land_use_enum	mines/quarries	mines_quarries	
cur_land_use_enum	mudflats	mudflats	
cur_land_use_enum	oil waste areas	oil_waste_areas	
cur_land_use_enum	pastureland (grasslands used for livestock grazing)	pastureland_grasslands_used_for_livestock_grazing	
cur_land_use_enum	permanent snow or ice	permanent_snow_or_ice	
cur_land_use_enum	rainforest (evergreen forest receiving >406 cm annual rainfall)	rainforest_evergreen_forest_receiving_gt_406_cm_annual_rainfall	
cur_land_use_enum	rangeland	rangeland	
cur_land_use_enum	roads/railroads	roads_railroads	
cur_land_use_enum	rock	rock	
cur_land_use_enum	row crops	row_crops	
cur_land_use_enum	saline seeps	saline_seeps	
cur_land_use_enum	salt flats	salt_flats	
cur_land_use_enum	sand	sand	
cur_land_use_enum	"shrub crops (blueberries,nursery ornamentals,filberts)"	shrub_crops_blueberries_nursery_ornamentals_filberts	
cur_land_use_enum	"shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)"	shrub_land_e_g_mesquite_sage_brush_creosote_bush_shrub_oak_eucalyptus	
cur_land_use_enum	small grains	small_grains	
cur_land_use_enum	"successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)"	successional_shrub_land_tree_saplings_hazels_sumacs_chokecherry_shrub_dogwoods_blackberries	
cur_land_use_enum	swamp (permanent or semi-permanent water body dominated by woody plants)	swamp_permanent_or_semi_permanent_water_body_dominated_by_woody_plants	
cur_land_use_enum	"tropical (e.g. mangrove,palms)"	tropical_e_g_mangrove_palms	
cur_land_use_enum	"tundra (mosses,lichens)"	tundra_mosses_lichens	
cur_land_use_enum	vegetable crops	vegetable_crops	
cur_land_use_enum	vine crops (grapes)	vine_crops_grapes	
cur_land_use_enum			
decontam_software_enum	acdc	acdc	
decontam_software_enum	anvi'o	anvi_o	
decontam_software_enum	bbtools:decontaminate.sh	bbtools_decontaminate_sh	
decontam_software_enum	checkm/refinem	checkm_refinem	
decontam_software_enum	combination	combination	
decontam_software_enum	prodege	prodege	
decontam_software_enum			
depos_env_enum	Continental - Aeolian	continental_aeolian	
depos_env_enum	Continental - Alluvial	continental_alluvial	
depos_env_enum	Continental - Fluvial	continental_fluvial	
depos_env_enum	Continental - Lacustrine	continental_lacustrine	
depos_env_enum	Marine - Deep	marine_deep	
depos_env_enum	Marine - Reef	marine_reef	
depos_env_enum	Marine - Shallow	marine_shallow	
depos_env_enum	other	other	
