old_name	new_name
human-oral MIGS plant	MigsPlHumanOral
human-oral MIGS virus	MigsViHumanOral
human-oral MIMAG	MimagHumanOral
human-oral MIMARKS specimen	MimarksCHumanOral
human-oral MIMARKS survey	MimarksSHumanOral
human-oral MIMS	MimsHumanOral
human-oral MISAG	MisagHumanOral
human-oral MIUVIG	MiuvigHumanOral
human-skin	HumanSkin
human-skin MIGS bacteria	MigsBaHumanSkin
human-skin MIGS eukaryote	MigsEuHumanSkin
human-skin MIGS org	MigsOrgHumanSkin
human-skin MIGS plant	MigsPlHumanSkin
human-skin MIGS virus	MigsViHumanSkin
human-skin MIMAG	MimagHumanSkin
human-skin MIMARKS specimen	MimarksCHumanSkin
human-skin MIMARKS survey	MimarksSHumanSkin
human-skin MIMS	MimsHumanSkin
human-skin MISAG	MisagHumanSkin
human-skin MIUVIG	MiuvigHumanSkin
human-vaginal	HumanVaginal
human-vaginal MIGS bacteria	MigsBaHumanVaginal
human-vaginal MIGS eukaryote	MigsEuHumanVaginal
human-vaginal MIGS org	MigsOrgHumanVaginal
human-vaginal MIGS plant	MigsPlHumanVaginal
human-vaginal MIGS virus	MigsViHumanVaginal
human-vaginal MIMAG	MimagHumanVaginal
human-vaginal MIMARKS specimen	MimarksCHumanVaginal
human-vaginal MIMARKS survey	MimarksSHumanVaginal
human-vaginal MIMS	MimsHumanVaginal
human-vaginal MISAG	MisagHumanVaginal
human-vaginal MIUVIG	MiuvigHumanVaginal
hydrocarbon resources-cores	HydrocarbonResourcesCores
hydrocarbon resources-cores MIGS bacteria	MigsBaHydrocarbonResourcesCores
hydrocarbon resources-cores MIGS eukaryote	MigsEuHydrocarbonResourcesCores
hydrocarbon resources-cores MIGS org	MigsOrgHydrocarbonResourcesCores
hydrocarbon resources-cores MIGS plant	MigsPlHydrocarbonResourcesCores
hydrocarbon resources-cores MIGS virus	MigsViHydrocarbonResourcesCores
hydrocarbon resources-cores MIMAG	MimagHydrocarbonResourcesCores
hydrocarbon resources-cores MIMARKS specimen	MimarksCHydrocarbonResourcesCores
hydrocarbon resources-cores MIMARKS survey	MimarksSHydrocarbonResourcesCores
hydrocarbon resources-cores MIMS	MimsHydrocarbonResourcesCores
hydrocarbon resources-cores MISAG	MisagHydrocarbonResourcesCores
hydrocarbon resources-cores MIUVIG	MiuvigHydrocarbonResourcesCores
hydrocarbon resources-fluids_swabs	HydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIGS bacteria	MigsBaHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIGS eukaryote	MigsEuHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIGS org	MigsOrgHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIGS plant	MigsPlHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIGS virus	MigsViHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIMAG	MimagHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIMARKS specimen	MimarksCHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIMARKS survey	MimarksSHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIMS	MimsHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MISAG	MisagHydrocarbonResourcesFluidsSwabs
hydrocarbon resources-fluids_swabs MIUVIG	MiuvigHydrocarbonResourcesFluidsSwabs
microbial mat_biofilm	MicrobialMatBiofilm
microbial mat_biofilm MIGS bacteria	MigsBaMicrobialMatBiofilm
