source	schema name	rule name	level	message
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'HEAT_COOL_TYPE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'SUBSTRUCTURE_TYPE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'BUILDING_SETTING_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'LIGHT_TYPE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'SPACE_TYP_STATE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'AERO_STRUC_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'ARCH_STRUC_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'BUILT_STRUC_SET_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'CEIL_FINISH_MAT_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'CEIL_STRUC_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'CEIL_TYPE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'BUILD_DOCS_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'DOOR_DIRECT_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'DOOR_MAT_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'DOOR_MOVE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'DOOR_TYPE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'DOOR_COMP_TYPE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'DOOR_TYPE_METAL_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'DRAWINGS_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'FIREPLACE_TYPE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'FLOOR_WATER_MOLD_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'FLOOR_STRUC_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'FREQ_CLEAN_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'FURNITURE_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'GENDER_RESTROOM_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'HANDIDNESS_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'HEAT_SYS_DELIV_METH_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'MECH_STRUC_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'OCCUP_DOCUMENT_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'QUAD_POS_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'REL_SAMP_LOC_ENUM' does not have recommended slot 'description'
/Users/sujaypatil/Desktop/temp/mixs6.2_release_candidate/generated-schema/mixs_6_2_rc.yaml	mixs_6_2_rc	recommended	warning	Enum 'ROOM_CONDT_ENUM' does not have recommended slot 'description'
