class	slot	attribute	value
Agriculture	soil_conductivity	description	Conductivity of some soil.
Agriculture	soil_pH	description	pH of some soil.
Agriculture	water_pH	description	The pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.
FoodFarmEnvironment	soil_conductivity	description	Conductivity of soil at time of sampling.
FoodFarmEnvironment	soil_pH	description	The pH of soil at time of sampling.
FoodFarmEnvironment	water_pH	description	pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid.
