class_name	slot_name
MisagSoil	elev
MisagWater	depth
MiuvigAgriculture	lib_screen
MiuvigAgriculture	nucl_acid_amp
MiuvigAgriculture	mid
MiuvigAgriculture	assembly_name
MiuvigAgriculture	temp
MiuvigAgriculture	nucl_acid_ext
MiuvigAgriculture	samp_size
MiuvigAgriculture	lib_reads_seqd
MiuvigAgriculture	samp_collect_device
MiuvigAgriculture	lib_vector
MiuvigAgriculture	adapters
MiuvigAgriculture	samp_mat_process
MiuvigAir	alt
MiuvigBuiltEnvironment	surf_material
MiuvigBuiltEnvironment	indoor_surf
MiuvigFoodFarmEnvironment	depth
MiuvigHydrocarbonResourcesCores	temp
MiuvigHydrocarbonResourcesFluidsSwabs	temp
MiuvigSediment	depth
MiuvigSoil	depth
MiuvigSoil	elev
MiuvigWater	depth
