enum	permissible_values	suspect	single
> enum	permissible_values	ignore	ignore
bin_param_enum	codon usage	FALSE	FALSE
bin_param_enum	combination	FALSE	FALSE
bin_param_enum	coverage	FALSE	FALSE
bin_param_enum	homology search	FALSE	FALSE
bin_param_enum	kmer	FALSE	FALSE
