enum	permissible_values	suspect	single	source
neg_cont_type_enum	sterile syringe	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_struc_enum	non-segmented	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_struc_enum	segmented	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_struc_enum	undetermined	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
rel_to_oxygen_enum	aerobe	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
rel_to_oxygen_enum	anaerobe	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
rel_to_oxygen_enum	facultative	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
rel_to_oxygen_enum	microaerophilic	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
rel_to_oxygen_enum	microanaerobe	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
rel_to_oxygen_enum	obligate aerobe	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
rel_to_oxygen_enum	obligate anaerobe	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
seq_quality_check_enum	manually edited	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
seq_quality_check_enum	none	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
single_cell_lysis_appr_enum	chemical	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
single_cell_lysis_appr_enum	combination	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
single_cell_lysis_appr_enum	enzymatic	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
single_cell_lysis_appr_enum	physical	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sort_tech_enum	flow cytometric cell sorting	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sort_tech_enum	lazer-tweezing	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sort_tech_enum	microfluidics	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sort_tech_enum	micromanipulation	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sort_tech_enum	optical manipulation	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sort_tech_enum	other	False	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	isolate microbial genome	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	metagenome (not viral targeted)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	metatranscriptome (not viral targeted)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	microbial single amplified genome (SAG)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	other	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	sequence-targeted RNA metagenome	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	sequence-targeted metagenome	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
